pacote;artefato_stitch;arquivo;bytes;largura;altura;sha256
01_core;boas_vindas_meufinanceiro;boas_vindas_meufinanceiro.png;291546;1600;1280;44991c9af2f1e1077501d697d048e2e32d3fbec35a85a10a2feab3ad1ca79b40
01_core;cart_es_e_faturas_meufinanceiro;cart_es_e_faturas_meufinanceiro.png;211193;1600;1280;e5c947feeb56d28bb6396a300b8f7db2d56a10fb7a78371a33380fd620409963
01_core;conclus_o_meufinanceiro;conclus_o_meufinanceiro.png;103705;1600;1280;a8f798d293f08804f09476f3f635122591effea7ce18f87f0a7dfcc4786f1ad0
01_core;configurar_resid_ncia_meufinanceiro;configurar_resid_ncia_meufinanceiro.png;342482;1600;1280;9fffb9ed246a1378f9b81faee65362bae1886195d04e71766b1af0a814fb54c5
01_core;contas_meufinanceiro;contas_meufinanceiro.png;287353;1600;1280;4f32be30a5b776ad52b6da2f29a93853320e134f133fa9f403d2bc614c9a4ef6
01_core;criar_administrador_meufinanceiro;criar_administrador_meufinanceiro.png;100503;1600;1280;7d36091315e89050055614eacdb8112feb442c0b1c91eb0d1280441d1be60f87
01_core;dashboard_estado_inicial_meufinanceiro;dashboard_estado_inicial_meufinanceiro.png;212214;1600;1280;898c112bff01a3278bbaf92b5b004c8f5b1f1a663453191fa2709ba75431a351
01_core;dashboard_meufinanceiro;dashboard_meufinanceiro.png;315367;1600;1439;b2dec3e4bd1f581204bb035d0badc14266d6d15713661f9346f379b3e9e31bd5
01_core;dashboard_meufinanceiro_consolidado;dashboard_meufinanceiro_consolidado.png;260310;1306;1600;66fd698dd298d547f560fdb97b83a9dab648fc03409fb86a9b6caa4b90b1ba0e
01_core;fluxo_de_onboarding_meufinanceiro;fluxo_de_onboarding_meufinanceiro.png;269617;1600;1280;c8caa22437941995fc1b9a51914a258e92a6cdceb2b4238a78a1a4b97b6bdbf8
01_core;login_meufinanceiro;login_meufinanceiro.png;291650;1600;1280;2ca504d428f8865b5820d6ab9d308f43b1622f35ec8020f499365ee82cfbf131
01_core;movimenta_es_meufinanceiro;movimenta_es_meufinanceiro.png;266896;1600;985;8db9a7189b6e7c1fb99bd6f39a55955012f62f9b3ad8da1969041d47d70775d6
02_planning_analytics;alertas_e_notifica_es_central_meufinanceiro;alertas_e_notifica_es_central_meufinanceiro.png;229838;1600;1280;f7590df660179698790ab9eac11b847ee45117a22356254eb583dc2846ea1b86
02_planning_analytics;alertas_regras_e_automa_es_meufinanceiro;alertas_regras_e_automa_es_meufinanceiro.png;158887;1600;1280;480df66ea27324456537b900caabdc140d437f94e19636f19802cbafb58a6910
02_planning_analytics;fluxo_de_caixa_calend_rio_financeiro_meufinanceiro;fluxo_de_caixa_calend_rio_financeiro_meufinanceiro.png;146696;1600;1280;b5612f26ff9f6b59b9c24a910413d1df9e614b70464c4b1773bf679437c1244f
02_planning_analytics;fluxo_de_caixa_cen_rios_e_compara_o_meufinanceiro;fluxo_de_caixa_cen_rios_e_compara_o_meufinanceiro.png;441226;1398;1600;4208e792e4a231197ee0507bce97d7b3701fdeb34ee712d0fb335b36ee87b553
02_planning_analytics;fluxo_de_caixa_e_cen_rios_meufinanceiro;fluxo_de_caixa_e_cen_rios_meufinanceiro.png;303059;1600;1311;a01f48b4d319d56ba9a61e9c651ed39f1d0c091d9c8c838d436358d57ba0f702
02_planning_analytics;fluxo_de_caixa_proje_o_detalhada_meufinanceiro;fluxo_de_caixa_proje_o_detalhada_meufinanceiro.png;283853;1600;1476;824e6bef3e54e45277880844b402a698bd2c5ee7d431f493da46f874a9ac2c82
02_planning_analytics;notifica_es_hist_rico_e_entregas_meufinanceiro;notifica_es_hist_rico_e_entregas_meufinanceiro.png;256290;1600;948;51c095411fb5b80006645c031df7448ead55cc3f74967bad5bcb3fdf6d1728df
02_planning_analytics;notifica_es_prefer_ncias_e_canais_meufinanceiro;notifica_es_prefer_ncias_e_canais_meufinanceiro.png;269435;1600;1351;348b2b0c9b790e1b64ee29a02960634e9ef9bd73398166477607d5af4b68af28
02_planning_analytics;projetos_objetivos_e_metas_meufinanceiro_1;projetos_objetivos_e_metas_meufinanceiro_1.png;404989;1600;1280;48ca54284a721c69e204e42b3481e8dead10516abc82ce555d2707f06db83a86
02_planning_analytics;projetos_objetivos_e_metas_meufinanceiro_2;projetos_objetivos_e_metas_meufinanceiro_2.png;284728;1600;1280;2567e2fe2eed50c96a7770282d113ae7d337c2c395d357d52d1935c624155874
02_planning_analytics;relat_rios_compromissos_financeiros;relat_rios_compromissos_financeiros.png;285551;1600;1280;193f9cd7d11add0f14fa3675f9f61104a5dbdb78c6ca3aff8535023a9a27f917
02_planning_analytics;relat_rios_e_an_lise_vis_o_geral;relat_rios_e_an_lise_vis_o_geral.png;151417;1600;1280;1fc3cd5130c3a92c97ee668e1c261461b889eb5d3235c3673c4ffbd29890aeee
02_planning_analytics;relat_rios_or_amento_e_planejamento;relat_rios_or_amento_e_planejamento.png;345954;1600;975;f6b508e771a27d9e03742169246fe31c88623c19d909ab222adb6961cc0d817a
02_planning_analytics;relat_rios_personalizado_e_exporta_o;relat_rios_personalizado_e_exporta_o.png;231370;1600;1280;6cb1894fc7f38ade817145080e2e6555f12289b7ea40ab985afdfe32fcd9e81d
02_planning_analytics;relat_rios_receitas_e_despesas;relat_rios_receitas_e_despesas.png;305042;1600;1550;cc75211e2d3919ee23d9b697ab9bcfc5389670ac143cce5ab0215e5227bf46fa
03_import_integrations;caixa_de_entrada_de_concilia_o;caixa_de_entrada_de_concilia_o.png;353604;1600;1280;4e9ddd001ae11c1a65ce7b17a8faa96bcaac4bd8d1eb00ff5c210b6fdac35150
03_import_integrations;caixa_de_entrada_pluggy;caixa_de_entrada_pluggy.png;220527;1600;1280;24c6429293cf546e4d5288786bd948272ed64b249459a2f8542c3be04858a1ec
03_import_integrations;conectar_institui_o_assistente;conectar_institui_o_assistente.png;120363;1600;1280;42788b2ddece72d5d53e71c4e53ad30200416298d568ec2339c9c2952287704d
03_import_integrations;configura_o_do_provedor_pluggy;configura_o_do_provedor_pluggy.png;243650;1600;1280;2d66867668932b852859e7097a688c19066778a9242e2a438834f860e9541735
03_import_integrations;detalhes_da_conex_o_e_sincroniza_o;detalhes_da_conex_o_e_sincroniza_o.png;211865;1600;1280;a61af393dc115aee0d5f47b2445e7edf2ee690b1e06ef2be5af1ecbe43a526c8
03_import_integrations;hist_rico_e_auditoria_de_importa_es;hist_rico_e_auditoria_de_importa_es.png;234260;1600;1280;4a326a757eef8b5e3a9450142a011c5d0300c0f5e1aaa5a2b67e0ded644c968d
03_import_integrations;importa_es_e_concilia_o_central;importa_es_e_concilia_o_central.png;252049;1600;1280;bb8684af0b1f81062f1360936da7d1e062ba40ca22b5a08cf544b62a3e88f91f
03_import_integrations;importa_es_e_concilia_o_central_mobile;importa_es_e_concilia_o_central_mobile.png;171786;706;1600;b0bca8c576fa39c8612561b64bc130a7f51d561d4e6ca10f2fc24c3eed04d309
